MTU (CET/CEST),Day-ahead Price (SEK/kWh)
1/8/24 0:00:00,0.0123824
1/8/24 1:00:00,0
1/8/24 2:00:00,-0.0001136
1/8/24 3:00:00,-0.0001136
1/8/24 4:00:00,0
1/8/24 5:00:00,0.0265824
1/8/24 6:00:00,0.0474848
1/8/24 7:00:00,0.0566864
1/8/24 8:00:00,0.1327984
1/8/24 9:00:00,0.1440448
1/8/24 10:00:00,0.134616
1/8/24 11:00:00,0.1270048
1/8/24 12:00:00,0.0575952
1/8/24 13:00:00,0.0566864
1/8/24 14:00:00,0.0589584
1/8/24 15:00:00,0.0913344
1/8/24 16:00:00,0.1217792
1/8/24 17:00:00,0.1405232
1/8/24 18:00:00,0.139728
1/8/24 19:00:00,0.1388192
1/8/24 20:00:00,0.124392
1/8/24 21:00:00,0.0685008
1/8/24 22:00:00,0.0803152
1/8/24 23:00:00,0.0565728
2/8/24 0:00:00,0.0479392
2/8/24 1:00:00,0.0381696
2/8/24 2:00:00,0.0307856
2/8/24 3:00:00,0.0298768
2/8/24 4:00:00,0.0402144
2/8/24 5:00:00,0.0560048
2/8/24 6:00:00,0.084632
2/8/24 7:00:00,0.1427952
2/8/24 8:00:00,0.20448
2/8/24 9:00:00,0.218112
2/8/24 10:00:00,0.2179984
2/8/24 11:00:00,0.219248
2/8/24 12:00:00,0.1629024
2/8/24 13:00:00,0.1697184
2/8/24 14:00:00,0.1683552
2/8/24 15:00:00,0.1957328
2/8/24 16:00:00,0.223792
2/8/24 17:00:00,0.2653696
2/8/24 18:00:00,0.2673008
2/8/24 19:00:00,0.2685504
2/8/24 20:00:00,0.2615072
2/8/24 21:00:00,0.2509424
2/8/24 22:00:00,0.2267456
2/8/24 23:00:00,0.1563136
3/8/24 0:00:00,0.1701728
3/8/24 1:00:00,0.1617664
3/8/24 2:00:00,0.1534736
3/8/24 3:00:00,0.1485888
3/8/24 4:00:00,0.1415456
3/8/24 5:00:00,0.1562
3/8/24 6:00:00,0.1814192
3/8/24 7:00:00,0.211864
3/8/24 8:00:00,0.2224288
3/8/24 9:00:00,0.2299264
3/8/24 10:00:00,0.2269728
3/8/24 11:00:00,0.2257232
3/8/24 12:00:00,0.1665376
3/8/24 13:00:00,0.0728176
3/8/24 14:00:00,0.046576
3/8/24 15:00:00,0.15052
3/8/24 16:00:00,0.2525328
3/8/24 17:00:00,0.2698
3/8/24 18:00:00,0.2637792
3/8/24 19:00:00,0.2616208
3/8/24 20:00:00,0.260144
3/8/24 21:00:00,0.2525328
3/8/24 22:00:00,0.2386736
3/8/24 23:00:00,0.2193616
4/8/24 0:00:00,0.2204976
4/8/24 1:00:00,0.211864
4/8/24 2:00:00,0.2093648
4/8/24 3:00:00,0.2048208
4/8/24 4:00:00,0.1964144
4/8/24 5:00:00,0.1932336
4/8/24 6:00:00,0.2223152
4/8/24 7:00:00,0.2360608
4/8/24 8:00:00,0.25276
4/8/24 9:00:00,0.2377648
4/8/24 10:00:00,0.1730128
4/8/24 11:00:00,0.0564592
4/8/24 12:00:00,0.0483936
4/8/24 13:00:00,-0.0002272
4/8/24 14:00:00,0.0218112
4/8/24 15:00:00,0.0565728
4/8/24 16:00:00,0.180056
4/8/24 17:00:00,0.2490112
4/8/24 18:00:00,0.2939968
4/8/24 19:00:00,0.2926336
4/8/24 20:00:00,0.2853632
4/8/24 21:00:00,0.2829776
4/8/24 22:00:00,0.2728672
4/8/24 23:00:00,0.2565088
5/8/24 0:00:00,0.2634384
5/8/24 1:00:00,0.2492384
5/8/24 2:00:00,0.2361744
5/8/24 3:00:00,0.2382192
5/8/24 4:00:00,0.2435584
5/8/24 5:00:00,0.2678688
5/8/24 6:00:00,0.2735488
5/8/24 7:00:00,0.2949056
5/8/24 8:00:00,0.3103552
5/8/24 9:00:00,0.3137632
5/8/24 10:00:00,0.3171712
5/8/24 11:00:00,0.3143312
5/8/24 12:00:00,0.313536
5/8/24 13:00:00,0.3068336
